Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
250020505000004;8;160;0;1;3;2;3;5;8;8;7;9;2;6;7;2;5;2;2;1;0;2;2;3;2;2;0;4;1;1;4;2;1;2;2;2;2;2;5;3;1;2;1;3;0;2;1;2;2;0;1;3;1;0;2;2;0;1;0;5;0;1;1;1;1;2;0;2;2;0;0;2;0;1;0;0;0;3;35;47;60;0;5;1;1;0;
250020505000005;8;44;0;0;0;2;2;3;3;1;1;1;2;0;1;1;2;0;0;1;1;0;3;1;0;0;0;0;2;0;2;1;1;1;1;0;0;3;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;10;17;1;1;1;0;0;
250020505000006;8;266;0;0;1;3;7;4;8;11;11;11;13;11;13;11;5;6;6;7;11;8;6;8;5;7;6;6;6;7;1;3;3;2;1;2;2;3;4;4;1;2;2;3;3;3;1;0;1;2;3;0;3;0;4;2;1;1;0;1;2;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;47;60;127;1;12;4;4;0;
250020505000007;8;234;0;1;2;4;5;6;12;12;16;10;5;7;14;6;3;6;5;8;7;4;2;6;6;3;2;4;7;9;3;4;3;4;3;0;1;2;1;1;0;0;2;0;1;1;2;1;1;3;4;2;1;2;1;0;0;1;1;1;1;1;0;1;3;2;0;1;0;1;1;1;1;0;0;1;1;1;46;59;106;0;7;0;2;2;
250020505000008;8;117;2;1;0;0;1;3;3;0;4;4;5;6;2;2;3;2;3;3;2;1;4;1;2;0;5;5;1;2;2;0;2;3;1;3;2;0;2;1;1;2;2;3;0;1;0;0;1;1;2;1;1;2;0;3;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;2;26;30;48;0;5;1;3;0;
250020505000009;8;503;7;6;9;15;21;13;12;12;25;15;23;12;18;15;8;14;12;9;8;8;13;7;8;18;8;11;7;10;6;6;4;4;6;6;4;5;6;1;0;4;7;8;3;3;2;3;0;8;3;4;4;3;9;4;4;3;2;3;0;2;1;4;4;0;2;5;2;1;3;1;2;0;0;0;0;7;105;104;208;4;11;8;3;1;
250020505000010;8;10;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;
250020505000011;1;580;2;4;9;9;14;11;18;18;19;15;15;14;16;13;9;18;17;9;13;12;19;11;15;18;20;14;7;8;8;7;18;8;15;15;3;9;8;10;5;3;1;5;2;8;6;6;4;7;3;2;2;3;4;5;5;0;1;2;3;2;3;2;2;0;1;3;2;2;0;2;1;1;3;3;1;7;169;144;204;4;14;4;2;0;
250030405000001;1;584;2;6;5;6;7;14;9;8;4;11;8;8;11;12;15;12;9;12;9;16;10;7;7;12;8;15;19;8;3;9;10;4;10;12;4;13;9;9;10;6;14;10;11;10;8;8;6;5;5;6;11;4;8;11;4;3;9;8;5;2;4;9;2;2;3;3;3;1;2;2;3;1;1;1;3;27;197;106;178;14;25;15;17;5;
250030405000002;1;685;1;8;12;8;9;15;15;14;17;15;16;18;16;22;27;19;14;23;21;16;23;13;11;14;16;17;14;11;13;9;15;5;11;2;10;12;12;9;11;8;8;11;0;8;5;5;7;7;3;4;3;3;4;5;3;4;3;7;4;0;3;4;3;3;1;3;2;3;1;4;2;4;2;0;2;12;193;127;245;7;33;10;29;2;
250030405000003;1;771;5;8;9;8;17;17;21;15;12;7;10;14;16;14;10;22;20;19;15;19;14;20;20;17;15;17;11;18;15;10;9;9;10;7;11;15;8;11;10;6;12;13;10;11;12;12;11;9;8;9;5;11;10;8;9;7;6;4;3;5;4;8;2;3;3;2;5;2;3;4;6;3;2;0;2;16;242;160;254;9;25;13;9;7;
250030405000004;1;341;4;6;5;5;5;9;4;7;8;6;12;10;7;9;6;10;8;12;10;8;10;8;5;6;5;4;12;2;5;5;5;7;3;1;2;4;3;7;10;3;3;3;1;7;3;4;3;3;6;4;0;5;4;3;1;2;1;4;3;1;0;0;2;0;2;1;1;0;2;0;2;1;0;1;0;10;85;56;125;1;22;7;19;0;
250030405000005;1;364;4;4;9;14;12;11;9;9;14;11;7;6;15;11;8;8;8;7;8;7;2;11;9;7;7;7;9;10;7;6;7;6;3;5;6;5;2;2;3;2;3;8;2;3;6;4;3;2;1;1;3;3;2;2;1;1;2;2;1;1;0;0;1;0;1;3;0;1;0;0;0;1;1;1;0;6;88;74;126;2;18;5;8;0;
250030405000006;1;373;5;7;3;5;5;7;5;12;12;10;10;18;10;9;9;10;13;6;8;11;8;6;4;5;8;4;7;4;3;6;9;7;6;5;6;7;6;7;6;5;5;4;4;2;7;8;1;3;3;3;4;2;2;0;0;1;0;6;4;0;2;2;1;0;0;0;1;2;3;0;1;1;0;0;2;5;91;64;155;3;23;4;8;0;
250030405000007;1;569;3;10;7;7;11;10;10;13;16;9;17;14;10;9;6;7;7;10;6;11;10;9;9;13;10;4;12;7;11;8;8;11;16;12;13;13;7;11;9;10;9;8;6;6;6;5;5;6;6;9;9;7;6;2;2;4;3;4;5;5;8;0;2;3;0;5;4;3;3;5;4;0;1;3;1;18;175;137;180;6;18;5;8;2;
250030405000008;1;705;1;7;13;17;9;17;22;24;17;21;25;13;25;15;13;8;15;14;11;10;11;13;10;13;12;12;9;17;13;10;7;12;16;9;15;17;10;11;14;13;15;10;11;7;6;8;8;8;7;4;8;5;5;3;3;10;8;4;3;2;1;0;1;3;3;4;0;2;1;1;0;1;0;2;3;7;197;149;248;5;37;4;13;3;
250030405000009;1;981;14;19;12;17;17;15;18;20;18;30;21;16;19;22;16;19;15;12;18;20;11;21;22;18;17;16;7;12;15;13;16;15;14;11;12;12;16;19;11;13;10;10;11;19;15;18;14;17;10;8;11;10;10;8;10;12;7;7;7;5;12;10;10;1;8;7;1;5;3;2;3;7;8;4;5;27;299;171;287;11;49;21;44;9;
250030405000010;1;756;4;7;13;14;18;18;12;15;21;15;24;26;13;21;19;9;13;17;15;17;13;18;17;20;17;18;21;9;10;9;15;13;10;11;8;8;17;17;11;10;5;11;3;5;10;14;7;5;3;4;10;7;9;9;7;10;1;7;4;0;4;2;3;5;3;1;2;2;3;2;2;2;1;1;0;9;210;135;270;6;40;8;22;6;
250030405000011;1;202;1;0;0;5;6;8;5;7;7;16;15;7;11;4;5;5;4;5;4;5;5;2;5;3;4;5;2;2;2;2;2;2;3;4;1;2;2;3;3;2;4;0;3;2;2;2;1;0;0;0;1;2;0;0;3;0;0;0;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;64;27;65;8;4;18;3;1;
250030405000012;1;391;1;2;9;6;14;11;14;13;13;15;9;16;13;16;6;7;7;4;6;15;6;9;3;6;12;14;8;5;5;9;6;1;3;6;5;4;4;5;5;8;2;4;3;7;6;2;2;4;3;2;3;3;0;3;3;1;2;0;0;1;0;3;1;3;1;0;2;2;0;1;1;1;1;0;0;3;91;89;149;2;18;1;8;0;
250030405000013;1;345;1;6;3;6;11;18;13;10;8;12;16;9;14;7;11;11;13;7;5;8;7;8;5;7;4;5;6;4;5;4;8;2;7;4;6;4;4;6;6;6;3;8;2;4;2;1;1;2;1;1;2;0;0;2;1;2;1;1;1;1;1;1;0;1;2;0;3;0;0;0;1;0;0;1;0;2;80;60;137;1;20;3;9;8;
250030405000014;1;131;2;1;3;4;7;7;3;3;8;7;8;7;7;5;5;4;5;4;5;3;3;4;4;3;2;1;2;1;3;2;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;21;55;0;4;4;3;0;
250030405000015;1;696;1;8;8;11;18;18;23;22;17;32;15;21;26;30;25;10;17;12;15;20;20;20;6;17;13;17;9;13;15;5;10;14;15;9;7;4;5;11;6;9;9;5;6;8;1;8;6;5;4;2;2;7;3;5;2;3;1;3;5;2;3;0;4;1;0;0;3;1;4;3;1;0;1;3;0;11;171;116;269;8;55;14;16;0;
250030405000016;8;575;2;1;6;6;12;15;21;21;26;32;28;25;21;31;26;25;22;14;24;10;13;9;13;10;10;8;7;6;6;11;7;6;9;4;6;5;1;4;3;5;3;6;2;4;5;7;2;2;1;2;3;5;2;0;2;1;3;0;2;1;2;1;1;1;0;1;1;0;0;0;1;1;0;0;0;2;115;91;289;3;23;11;13;1;
250030405000017;8;65;0;0;0;0;2;1;2;2;2;4;4;2;6;2;3;2;6;3;3;1;2;4;2;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;36;0;0;0;7;0;
250030405000018;5;759;3;10;9;21;27;25;17;33;24;28;36;24;24;24;22;16;12;10;14;17;17;9;12;14;8;11;12;11;8;10;18;9;14;12;11;9;11;9;9;10;3;10;10;8;2;9;5;5;2;7;6;3;8;3;5;2;6;5;1;1;2;1;2;3;2;3;2;2;2;3;3;3;3;1;0;6;183;152;279;4;38;8;15;9;
250030405000019;5;305;0;1;4;8;8;12;13;8;11;8;15;9;19;10;9;9;5;10;11;8;9;6;7;1;3;7;7;6;5;7;4;4;2;2;3;2;1;2;1;2;5;0;1;0;3;2;1;1;0;3;0;2;4;2;5;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;0;3;73;61;128;0;7;3;11;0;
250030405000020;8;191;1;1;3;6;5;7;8;11;10;9;8;5;9;6;8;5;2;4;4;1;4;4;5;3;1;2;2;2;1;3;2;2;3;4;3;0;1;3;2;0;1;1;1;2;3;0;2;1;1;0;1;1;1;0;0;0;0;1;1;1;2;1;1;0;0;0;1;1;2;1;0;0;0;0;0;4;36;41;84;1;8;1;4;0;
250030405000021;8;223;2;1;5;8;3;4;8;6;10;5;10;11;11;7;5;4;3;3;6;1;5;8;2;5;6;5;3;1;3;5;3;4;3;1;3;4;2;1;3;2;0;2;1;2;2;4;1;4;0;1;0;1;2;0;2;2;1;1;1;0;1;1;1;0;1;3;1;1;0;0;2;0;0;0;1;2;40;37;107;0;12;1;5;2;
250030405000022;8;125;1;0;3;1;4;3;4;2;2;7;4;4;6;6;3;5;9;4;2;2;3;6;0;2;1;1;2;1;2;3;4;0;2;0;1;3;0;2;2;3;3;0;1;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;24;26;58;1;2;0;4;1;
250030405000023;8;145;2;1;2;4;6;6;6;6;2;8;6;7;9;9;7;3;3;9;5;8;2;2;2;3;3;2;1;2;0;0;2;2;1;0;2;0;0;2;2;1;0;0;1;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;23;70;0;3;1;6;0;
250030405000024;8;12;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;5;0;0;0;0;0;
250030405000025;8;243;2;4;4;13;5;9;11;10;10;7;13;8;7;11;9;5;2;3;6;8;4;5;5;4;3;5;3;2;2;1;3;1;2;1;2;4;0;4;2;2;0;1;4;1;2;2;3;4;1;0;0;1;1;3;1;1;0;2;0;1;1;2;1;3;0;1;0;1;0;1;1;1;0;1;0;0;50;42;107;0;11;0;3;1;
250030405000026;8;9;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;0;0;0;0;
250030405000027;8;150;1;2;4;4;6;6;7;10;9;4;9;4;3;9;4;6;3;6;0;4;5;4;2;3;1;4;5;1;3;2;2;2;1;2;1;0;1;2;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25;74;0;4;1;6;0;
250030405000028;8;384;0;0;2;6;4;9;11;11;13;19;13;14;18;12;20;15;7;11;15;9;11;6;10;10;6;4;7;4;1;4;5;2;5;6;2;7;3;4;2;5;4;2;3;1;5;2;6;4;2;3;0;1;5;2;1;2;4;3;2;0;1;2;0;0;3;1;0;2;0;1;2;2;1;0;2;2;74;77;190;1;10;5;11;0;
250030405000029;8;283;0;3;4;4;11;13;18;16;14;18;13;10;6;18;5;11;6;11;4;11;8;2;5;1;6;3;1;3;5;1;1;2;2;1;4;3;3;3;0;3;1;1;0;0;1;2;1;0;0;1;2;1;1;2;1;3;3;1;0;1;0;0;1;1;1;0;1;0;0;0;1;0;2;0;1;0;41;50;150;1;10;2;7;0;
250030405000030;5;499;0;3;11;8;16;15;28;22;19;19;25;18;20;14;20;12;18;9;12;9;12;17;6;3;15;9;10;5;5;8;5;5;2;5;5;4;7;7;3;4;6;6;4;3;4;6;5;1;3;1;0;3;0;0;1;1;2;5;1;1;1;2;1;1;0;0;0;2;0;0;0;0;0;0;0;4;99;121;202;2;22;1;13;1;
250030405000031;5;589;1;2;5;12;15;16;25;18;25;20;33;19;14;22;22;16;16;14;17;7;14;18;11;10;7;8;8;13;10;9;10;8;7;8;8;4;6;7;6;12;3;6;3;4;2;6;5;3;1;3;2;4;3;0;0;8;2;3;0;2;3;1;0;3;1;2;2;1;2;5;2;2;1;0;0;1;185;96;230;1;28;2;12;0;
250030405000032;8;194;1;1;6;5;7;7;9;11;10;6;9;12;13;9;8;6;5;5;4;5;2;2;6;2;3;4;0;6;3;2;1;2;2;1;0;1;1;0;1;0;0;2;2;1;1;0;0;0;1;0;0;2;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;23;34;106;0;9;0;2;0;
250030405000033;8;192;4;2;3;3;4;5;7;6;8;10;16;8;4;7;9;5;6;3;4;4;5;4;1;4;0;3;0;2;4;2;1;1;1;2;3;6;4;4;3;0;3;1;0;1;2;1;3;0;0;1;3;4;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;34;36;80;1;10;3;7;1;
250030405000034;8;277;2;2;7;9;8;4;13;14;8;9;6;21;8;8;9;9;11;6;5;10;6;5;7;6;2;6;2;8;2;4;5;1;2;0;4;7;0;1;3;2;2;1;1;1;3;0;4;2;3;3;3;1;1;1;1;0;1;0;0;2;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;47;36;151;2;7;1;5;0;
250030405000035;8;158;2;4;4;6;6;11;6;4;5;1;2;8;1;5;6;2;6;6;4;6;4;4;2;2;5;2;5;1;1;2;2;3;2;1;0;2;1;2;1;3;1;1;0;2;1;0;0;1;0;0;1;1;1;2;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;29;35;63;1;3;2;2;1;
250030405000036;8;440;6;6;13;10;21;28;21;16;26;22;15;29;24;13;8;11;8;11;12;8;9;8;11;8;9;6;4;5;0;4;9;3;5;2;3;2;1;4;1;3;3;1;5;1;1;4;0;2;1;1;1;0;4;2;0;2;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;55;75;187;6;22;27;12;0;
250030405000037;1;438;5;2;5;7;4;11;9;8;9;10;7;12;8;7;10;5;6;7;3;5;8;16;8;3;10;6;8;6;4;10;9;5;7;6;14;8;12;11;7;4;6;12;5;2;2;4;4;3;5;6;3;4;4;2;6;4;2;4;2;2;3;4;1;2;1;3;5;4;1;5;2;3;1;3;2;14;139;86;142;4;29;2;12;0;
250030405000038;1;456;3;4;6;3;10;12;12;12;13;13;17;20;12;15;16;12;13;21;10;12;7;11;9;4;14;10;5;3;2;2;3;8;4;10;2;4;6;7;2;6;3;9;5;8;3;4;2;1;4;4;4;4;3;2;4;1;2;3;1;3;3;1;2;1;1;5;1;2;2;1;1;1;0;2;0;8;109;80;184;6;36;2;12;1;
250030405000039;1;516;3;8;9;14;19;15;14;10;7;8;15;10;14;11;17;15;12;16;16;14;14;8;18;18;6;17;10;14;8;7;7;11;11;7;7;11;7;5;4;6;5;3;6;2;6;7;2;1;3;0;3;1;1;0;2;4;2;0;5;2;2;1;2;2;1;1;2;0;0;0;1;1;0;1;0;4;142;107;147;4;33;8;18;2;
250030405000040;1;762;3;3;20;15;15;23;27;21;27;22;24;21;19;22;15;12;20;19;25;18;16;20;23;17;18;11;16;14;19;15;9;10;16;10;14;13;13;17;8;9;8;12;5;9;3;4;0;6;6;2;3;0;2;3;3;0;2;1;3;2;3;3;0;1;2;5;2;3;3;1;2;1;1;1;0;1;202;183;261;2;32;6;20;0;
250030405000041;1;265;1;3;5;6;9;8;11;9;11;10;13;13;6;16;9;8;3;6;6;7;5;2;5;6;2;3;4;1;2;3;2;4;2;2;6;0;1;4;5;2;4;2;2;1;2;3;0;0;2;1;1;1;1;3;1;3;0;1;0;1;4;0;1;1;0;0;0;3;0;1;0;0;1;0;1;3;51;40;120;0;16;3;10;0;
250030405000042;1;470;3;4;10;10;8;20;13;17;15;25;21;15;13;14;15;13;11;8;14;16;9;8;12;5;7;11;5;10;12;8;4;4;10;8;6;2;5;2;3;5;5;7;5;3;5;3;2;2;3;3;1;4;3;4;1;1;0;2;0;0;2;3;0;1;1;2;3;1;0;0;0;0;0;1;0;1;113;90;193;1;21;4;12;0;
250030405000043;1;371;3;4;3;9;12;9;9;12;12;9;22;19;19;13;8;14;10;13;13;7;8;14;7;7;7;4;6;6;2;4;4;4;4;5;5;6;2;3;3;2;1;1;0;3;3;3;1;3;0;5;2;2;1;1;1;1;2;2;0;2;2;0;2;1;1;0;2;2;1;1;0;0;0;0;0;2;77;54;167;0;23;4;10;2;
250030405000044;1;534;2;7;8;7;11;13;16;11;15;25;18;22;16;15;28;11;17;12;22;17;17;12;17;12;11;15;7;11;12;5;4;5;9;8;5;8;4;3;5;6;4;2;3;8;4;3;3;3;0;1;5;6;4;2;3;3;2;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;1;104;86;228;0;46;3;30;1;
250040305000001;1;851;2;10;10;12;11;15;12;8;21;9;14;24;11;27;18;22;21;17;25;20;26;12;16;18;9;17;10;14;16;12;14;10;8;11;11;11;12;12;9;16;12;13;13;7;14;15;17;14;12;9;6;8;11;8;7;6;6;3;4;6;6;2;3;2;4;5;8;4;6;4;3;4;5;4;2;25;286;188;258;5;25;11;23;7;
250040305000002;1;827;6;6;19;16;17;15;15;19;19;21;23;22;19;17;21;21;25;31;15;14;20;18;20;11;20;16;13;14;7;15;13;7;15;10;4;11;12;9;11;9;10;12;7;4;10;11;12;4;9;6;5;11;11;9;3;9;1;4;3;3;7;5;3;0;4;4;6;7;2;4;4;2;3;1;1;14;228;166;283;8;42;11;21;3;
250040305000003;1;922;5;11;14;14;22;28;25;27;20;22;20;24;14;18;23;24;23;28;21;34;11;23;17;21;15;20;11;16;14;12;9;11;15;13;9;13;14;10;13;10;9;11;8;3;10;13;8;8;10;11;8;7;4;12;9;3;7;3;7;3;5;9;2;5;3;1;8;1;7;4;7;3;0;3;2;14;262;187;331;6;41;5;23;0;
250040305000004;1;833;5;11;17;17;24;20;19;23;22;24;20;27;21;22;10;17;15;21;17;26;18;13;16;16;24;22;15;14;13;19;10;12;11;9;10;11;9;8;10;10;11;4;9;6;6;10;9;6;9;7;7;10;6;3;3;9;6;6;3;6;2;3;1;8;1;2;3;2;1;3;1;1;1;2;5;13;225;153;280;2;62;11;26;0;
250040305000005;1;444;5;8;10;9;19;13;16;9;18;19;8;8;12;8;11;17;12;14;16;13;16;19;6;11;9;4;10;8;9;7;5;2;10;5;6;7;4;3;3;8;1;3;1;1;3;2;0;4;3;4;0;2;2;1;3;2;0;1;2;1;0;1;2;1;0;0;1;0;1;1;1;2;0;1;0;0;116;94;160;1;11;1;9;1;
250040305000006;1;663;12;14;22;22;16;24;23;19;18;20;23;28;27;18;16;19;23;26;21;21;16;24;13;13;10;13;10;8;12;6;6;6;11;7;7;6;7;11;2;7;3;4;1;3;5;3;1;3;2;3;2;1;1;2;0;3;0;1;7;0;2;0;1;0;0;1;0;1;0;0;1;1;0;0;1;3;121;117;272;1;39;4;18;3;
