Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
250010605000011;1;1144;1144;1144;0;0;833;5;220;0;86;0;1104;0;0;40;1144;519;7;612;6;0;0;0;1142;967;155;20;0;2;1140;0;1140;0;0;4;0;0;1139;1135;4;5;1097;12;26;547;547;547;0;0;397;3;103;0;44;0;528;0;0;19;547;249;3;291;4;0;0;0;546;465;72;9;0;1;545;0;545;0;0;2;0;0;545;543;2;2;524;4;15;597;597;597;0;0;436;2;117;0;42;0;576;0;0;21;597;270;4;321;2;0;0;0;596;502;83;11;0;1;595;0;595;0;0;2;0;0;594;592;2;3;573;8;11
250010605000012;5;177;177;177;0;0;166;3;0;0;6;2;19;0;0;158;175;129;2;44;0;0;0;2;154;127;23;4;0;23;159;0;159;14;4;0;0;0;177;177;0;0;155;13;9;85;85;85;0;0;81;2;0;0;2;0;7;0;0;78;85;62;1;22;0;0;0;0;73;61;11;1;0;12;74;0;74;9;2;0;0;0;85;85;0;0;76;5;4;92;92;92;0;0;85;1;0;0;4;2;12;0;0;80;90;67;1;22;0;0;0;2;81;66;12;3;0;11;85;0;85;5;2;0;0;0;92;92;0;0;79;8;5
250010605000013;5;165;165;165;0;0;144;6;0;0;15;0;65;9;5;86;52;0;3;39;4;0;6;113;26;26;0;0;0;139;0;0;0;144;0;21;0;0;165;165;0;0;137;7;21;88;88;88;0;0;74;3;0;0;11;0;33;6;3;46;25;0;2;19;1;0;3;63;16;16;0;0;0;72;0;0;0;79;0;9;0;0;88;88;0;0;72;4;12;77;77;77;0;0;70;3;0;0;4;0;32;3;2;40;27;0;1;20;3;0;3;50;10;10;0;0;0;67;0;0;0;65;0;12;0;0;77;77;0;0;65;3;9
250010605000014;8;626;625;625;0;0;520;0;0;27;78;0;13;58;220;334;225;0;0;213;12;0;0;400;184;184;0;0;0;441;20;0;20;419;0;182;0;4;609;609;0;16;534;20;55;345;344;344;0;0;294;0;0;14;36;0;7;31;123;183;132;0;0;123;9;0;0;212;109;109;0;0;0;235;12;0;12;228;0;101;0;3;336;336;0;8;293;12;31;281;281;281;0;0;226;0;0;13;42;0;6;27;97;151;93;0;0;90;3;0;0;188;75;75;0;0;0;206;8;0;8;191;0;81;0;1;273;273;0;8;241;8;24
250020505000001;1;1014;1012;1006;4;2;693;0;182;0;137;0;995;7;0;10;933;466;0;198;160;101;8;79;862;694;158;10;0;150;998;998;0;14;0;0;0;0;1008;1008;0;4;958;28;22;469;468;466;2;0;310;0;86;0;72;0;458;4;0;6;426;205;0;94;78;45;4;42;390;315;69;6;0;78;460;460;0;8;0;0;0;0;467;467;0;1;443;14;10;545;544;540;2;2;383;0;96;0;65;0;537;3;0;4;507;261;0;104;82;56;4;37;472;379;89;4;0;72;538;538;0;6;0;0;0;0;541;541;0;3;515;14;12
250020505000002;1;693;693;693;0;0;427;2;157;1;106;0;687;0;0;6;685;411;0;39;33;202;0;8;621;514;103;4;0;72;667;667;0;4;0;6;16;0;693;693;0;0;591;70;32;327;327;327;0;0;202;1;68;1;55;0;325;0;0;2;325;196;0;21;14;94;0;2;297;248;47;2;0;30;314;314;0;1;0;4;8;0;327;327;0;0;283;33;11;366;366;366;0;0;225;1;89;0;51;0;362;0;0;4;360;215;0;18;19;108;0;6;324;266;56;2;0;42;353;353;0;3;0;2;8;0;366;366;0;0;308;37;21
250020505000003;8;344;344;344;0;0;191;4;0;17;132;0;0;77;8;259;168;0;0;148;20;0;0;176;67;52;15;0;0;277;0;0;0;198;0;146;0;0;340;340;0;4;304;28;8;167;167;167;0;0;94;2;0;10;61;0;0;40;4;123;86;0;0;75;11;0;0;81;33;24;9;0;0;134;0;0;0;94;0;73;0;0;165;165;0;2;147;14;4;177;177;177;0;0;97;2;0;7;71;0;0;37;4;136;82;0;0;73;9;0;0;95;34;28;6;0;0;143;0;0;0;104;0;73;0;0;175;175;0;2;157;14;4
250020505000004;8;289;289;289;0;0;192;0;4;28;65;0;0;10;22;257;91;0;0;32;59;0;0;198;79;74;5;0;0;210;0;0;0;238;4;47;0;0;289;289;0;0;271;6;12;155;155;155;0;0;103;0;3;16;33;0;0;5;10;140;49;0;0;19;30;0;0;106;42;39;3;0;0;113;0;0;0;128;3;24;0;0;155;155;0;0;146;3;6;134;134;134;0;0;89;0;1;12;32;0;0;5;12;117;42;0;0;13;29;0;0;92;37;35;2;0;0;97;0;0;0;110;1;23;0;0;134;134;0;0;125;3;6
250020505000005;8;129;129;129;0;0;114;0;0;3;12;0;10;35;0;84;29;0;0;15;14;0;0;100;8;8;0;0;0;121;0;0;0;49;0;80;0;0;129;129;0;0;104;1;24;70;70;70;0;0;61;0;0;2;7;0;5;20;0;45;15;0;0;8;7;0;0;55;5;5;0;0;0;65;0;0;0;29;0;41;0;0;70;70;0;0;56;1;13;59;59;59;0;0;53;0;0;1;5;0;5;15;0;39;14;0;0;7;7;0;0;45;3;3;0;0;0;56;0;0;0;20;0;39;0;0;59;59;0;0;48;0;11
250020505000006;8;617;617;617;0;0;476;0;0;7;134;0;96;65;52;404;82;0;0;53;29;0;0;535;52;52;0;0;0;565;0;0;0;173;0;435;9;0;616;616;0;1;537;28;51;309;309;309;0;0;243;0;0;3;63;0;49;39;26;195;43;0;0;29;14;0;0;266;24;24;0;0;0;285;0;0;0;82;0;222;5;0;308;308;0;1;270;14;24;308;308;308;0;0;233;0;0;4;71;0;47;26;26;209;39;0;0;24;15;0;0;269;28;28;0;0;0;280;0;0;0;91;0;213;4;0;308;308;0;0;267;14;27
250020505000007;8;422;422;422;0;0;321;0;0;3;85;13;0;11;25;386;87;0;0;31;56;0;0;335;58;56;2;0;0;364;0;0;0;215;3;204;0;0;421;421;0;1;358;34;29;200;200;200;0;0;150;0;0;1;44;5;0;4;11;185;36;0;0;13;23;0;0;164;24;23;1;0;0;176;0;0;0;102;1;97;0;0;199;199;0;1;168;15;16;222;222;222;0;0;171;0;0;2;41;8;0;7;14;201;51;0;0;18;33;0;0;171;34;33;1;0;0;188;0;0;0;113;2;107;0;0;222;222;0;0;190;19;13
250020505000008;8;194;194;194;0;0;126;0;0;3;55;10;0;3;3;188;85;0;0;24;61;0;0;109;36;36;0;0;0;158;0;0;0;88;4;102;0;0;188;188;0;6;146;32;10;104;104;104;0;0;68;0;0;2;30;4;0;2;2;100;46;0;0;15;31;0;0;58;20;20;0;0;0;84;0;0;0;49;2;53;0;0;99;99;0;5;74;19;6;90;90;90;0;0;58;0;0;1;25;6;0;1;1;88;39;0;0;9;30;0;0;51;16;16;0;0;0;74;0;0;0;39;2;49;0;0;89;89;0;1;72;13;4
250020505000009;8;810;810;810;0;0;710;1;0;3;96;0;27;306;39;438;197;0;87;0;106;0;4;613;157;153;4;0;0;653;0;0;0;403;11;383;13;0;804;804;0;6;695;37;72;411;411;411;0;0;356;0;0;2;53;0;15;160;18;218;101;0;43;0;56;0;2;310;81;79;2;0;0;330;0;0;0;205;5;195;6;0;407;407;0;4;355;17;35;399;399;399;0;0;354;1;0;1;43;0;12;146;21;220;96;0;44;0;50;0;2;303;76;74;2;0;0;323;0;0;0;198;6;188;7;0;397;397;0;2;340;20;37
250020505000010;8;24;24;24;0;0;17;0;0;2;5;0;0;9;4;11;14;0;0;14;0;0;0;10;14;14;0;0;0;10;0;0;0;18;0;6;0;0;23;23;0;1;23;0;0;15;15;15;0;0;10;0;0;2;3;0;0;5;2;8;8;0;0;8;0;0;0;7;8;8;0;0;0;7;0;0;0;10;0;5;0;0;14;14;0;1;14;0;0;9;9;9;0;0;7;0;0;0;2;0;0;4;2;3;6;0;0;6;0;0;0;3;6;6;0;0;0;3;0;0;0;8;0;1;0;0;9;9;0;0;9;0;0
250020505000011;1;994;994;994;0;0;687;3;190;9;102;3;981;0;0;13;943;19;0;639;278;3;4;51;819;759;53;7;0;175;924;922;2;27;0;43;0;0;982;972;10;12;876;75;21;479;479;479;0;0;333;2;90;4;48;2;472;0;0;7;456;11;0;303;138;2;2;23;399;372;23;4;0;80;443;441;2;11;0;25;0;0;472;466;6;7;423;33;10;515;515;515;0;0;354;1;100;5;54;1;509;0;0;6;487;8;0;336;140;1;2;28;420;387;30;3;0;95;481;481;0;16;0;18;0;0;510;506;4;5;453;42;11
250030405000001;1;713;713;713;0;0;512;2;134;0;50;15;713;0;0;0;713;651;4;22;33;3;0;0;713;360;263;55;35;0;713;708;5;0;0;0;0;0;713;713;0;0;705;8;0;341;341;341;0;0;234;1;76;0;24;6;341;0;0;0;341;316;3;12;10;0;0;0;341;179;118;28;16;0;341;338;3;0;0;0;0;0;341;341;0;0;337;4;0;372;372;372;0;0;278;1;58;0;26;9;372;0;0;0;372;335;1;10;23;3;0;0;372;181;145;27;19;0;372;370;2;0;0;0;0;0;372;372;0;0;368;4;0
250030405000002;1;1070;1070;1016;45;9;713;6;239;1;111;0;1040;11;0;19;1063;857;6;138;21;41;0;7;1056;808;195;35;18;14;1002;999;3;60;0;7;0;1;1065;1064;1;5;971;27;66;485;485;455;26;4;325;4;104;0;52;0;473;5;0;7;482;383;3;66;13;17;0;3;479;364;88;20;7;6;451;450;1;30;0;4;0;0;483;483;0;2;440;10;33;585;585;561;19;5;388;2;135;1;59;0;567;6;0;12;581;474;3;72;8;24;0;4;577;444;107;15;11;8;551;549;2;30;0;3;0;1;582;581;1;3;531;17;33
250030405000003;1;925;925;908;0;17;666;23;167;0;67;2;908;17;0;0;925;814;37;9;13;49;3;0;925;497;292;117;19;0;920;920;0;5;0;0;0;0;925;925;0;0;925;0;0;434;434;428;0;6;309;10;77;0;37;1;424;10;0;0;434;386;14;3;7;22;2;0;434;228;145;53;8;0;433;433;0;1;0;0;0;0;434;434;0;0;434;0;0;491;491;480;0;11;357;13;90;0;30;1;484;7;0;0;491;428;23;6;6;27;1;0;491;269;147;64;11;0;487;487;0;4;0;0;0;0;491;491;0;0;491;0;0
250030405000004;1;458;458;452;0;6;337;0;72;0;49;0;458;0;0;0;458;360;65;0;0;0;33;0;458;352;106;0;0;0;458;458;0;0;0;0;0;0;458;458;0;0;453;5;0;189;189;187;0;2;139;0;29;0;21;0;189;0;0;0;189;150;25;0;0;0;14;0;189;147;42;0;0;0;189;189;0;0;0;0;0;0;189;189;0;0;186;3;0;269;269;265;0;4;198;0;43;0;28;0;269;0;0;0;269;210;40;0;0;0;19;0;269;205;64;0;0;0;269;269;0;0;0;0;0;0;269;269;0;0;267;2;0
250030405000005;1;587;587;587;0;0;511;0;59;0;17;0;587;0;0;0;587;569;16;2;0;0;0;0;584;549;35;0;0;3;587;587;0;0;0;0;0;0;587;587;0;0;571;14;2;267;267;267;0;0;233;0;26;0;8;0;267;0;0;0;267;257;8;2;0;0;0;0;264;249;15;0;0;3;267;267;0;0;0;0;0;0;267;267;0;0;260;5;2;320;320;320;0;0;278;0;33;0;9;0;320;0;0;0;320;312;8;0;0;0;0;0;320;300;20;0;0;0;320;320;0;0;0;0;0;0;320;320;0;0;311;9;0
250030405000006;1;518;518;518;0;0;438;0;59;0;16;5;518;0;0;0;518;478;1;31;0;8;0;0;518;420;82;12;4;0;518;516;2;0;0;0;0;0;517;517;0;1;507;7;3;238;238;238;0;0;200;0;26;0;9;3;238;0;0;0;238;219;0;16;0;3;0;0;238;186;45;5;2;0;238;238;0;0;0;0;0;0;238;238;0;0;233;3;2;280;280;280;0;0;238;0;33;0;7;2;280;0;0;0;280;259;1;15;0;5;0;0;280;234;37;7;2;0;280;278;2;0;0;0;0;0;279;279;0;1;274;4;1
250030405000007;1;678;678;663;7;8;535;4;100;3;32;4;678;0;0;0;676;609;16;44;7;0;0;2;676;327;258;55;36;2;678;671;7;0;0;0;0;0;678;678;0;0;658;12;8;318;318;313;3;2;254;2;42;1;17;2;318;0;0;0;317;288;6;20;3;0;0;1;317;152;127;22;16;1;318;315;3;0;0;0;0;0;318;318;0;0;306;8;4;360;360;350;4;6;281;2;58;2;15;2;360;0;0;0;359;321;10;24;4;0;0;1;359;175;131;33;20;1;360;356;4;0;0;0;0;0;360;360;0;0;352;4;4
250030405000008;1;857;857;857;0;0;749;2;61;3;42;0;857;0;0;0;857;857;0;0;0;0;0;0;857;488;323;41;5;0;857;857;0;0;0;0;0;0;857;857;0;0;850;4;3;396;396;396;0;0;349;0;30;1;16;0;396;0;0;0;396;396;0;0;0;0;0;0;396;217;156;21;2;0;396;396;0;0;0;0;0;0;396;396;0;0;394;1;1;461;461;461;0;0;400;2;31;2;26;0;461;0;0;0;461;461;0;0;0;0;0;0;461;271;167;20;3;0;461;461;0;0;0;0;0;0;461;461;0;0;456;3;2
250030405000009;1;1095;1091;1091;0;0;845;9;226;2;3;6;1088;3;0;0;1091;1080;0;0;0;5;6;0;1091;668;279;76;68;0;1091;1091;0;0;0;0;0;0;1090;1090;0;1;1089;0;1;492;488;488;0;0;377;3;100;2;2;4;486;2;0;0;488;482;0;0;0;3;3;0;488;301;123;34;30;0;488;488;0;0;0;0;0;0;487;487;0;1;486;0;1;603;603;603;0;0;468;6;126;0;1;2;602;1;0;0;603;598;0;0;0;2;3;0;603;367;156;42;38;0;603;603;0;0;0;0;0;0;603;603;0;0;603;0;0
250030405000010;1;1164;1157;1141;11;5;833;4;238;0;74;8;1125;17;0;15;1157;340;148;47;0;622;0;0;1151;969;164;13;5;6;1157;1145;12;0;0;0;0;0;1157;1154;3;0;1078;44;32;548;542;537;4;1;383;2;116;0;37;4;526;8;0;8;542;156;74;27;0;285;0;0;540;449;81;7;3;2;542;535;7;0;0;0;0;0;542;540;2;0;503;22;15;616;615;604;7;4;450;2;122;0;37;4;599;9;0;7;615;184;74;20;0;337;0;0;611;520;83;6;2;4;615;610;5;0;0;0;0;0;615;614;1;0;575;22;17
250030405000011;1;438;438;438;0;0;380;3;23;0;32;0;432;0;0;6;424;138;6;257;18;0;5;14;330;302;28;0;0;108;347;284;63;86;0;5;0;0;425;425;0;13;398;27;0;222;222;222;0;0;196;2;8;0;16;0;217;0;0;5;212;69;2;130;7;0;4;10;162;144;18;0;0;60;175;146;29;44;0;3;0;0;212;212;0;10;195;17;0;216;216;216;0;0;184;1;15;0;16;0;215;0;0;1;212;69;4;127;11;0;1;4;168;158;10;0;0;48;172;138;34;42;0;2;0;0;213;213;0;3;203;10;0
250030405000012;1;640;640;640;0;0;511;0;84;0;45;0;605;0;0;35;636;454;9;168;5;0;0;4;628;595;28;5;0;12;613;611;2;25;0;0;0;2;631;631;0;9;595;19;17;310;310;310;0;0;254;0;37;0;19;0;290;0;0;20;308;213;5;87;3;0;0;2;306;288;17;1;0;4;293;292;1;15;0;0;0;2;306;306;0;4;287;11;8;330;330;330;0;0;257;0;47;0;26;0;315;0;0;15;328;241;4;81;2;0;0;2;322;307;11;4;0;8;320;319;1;10;0;0;0;0;325;325;0;5;308;8;9
250030405000013;1;584;584;564;20;0;429;3;129;10;10;3;568;0;0;16;562;174;5;368;9;0;6;22;555;483;49;16;7;29;461;461;0;46;0;77;0;0;568;568;0;16;555;0;13;267;267;259;8;0;194;1;59;7;5;1;259;0;0;8;256;76;3;169;5;0;3;11;252;218;25;6;3;15;207;207;0;24;0;36;0;0;259;259;0;8;253;0;6;317;317;305;12;0;235;2;70;3;5;2;309;0;0;8;306;98;2;199;4;0;3;11;303;265;24;10;4;14;254;254;0;22;0;41;0;0;309;309;0;8;302;0;7
250030405000014;1;276;276;276;0;0;176;0;50;0;50;0;183;0;0;93;263;4;0;257;2;0;0;13;263;263;0;0;0;13;10;10;0;98;0;166;0;2;267;267;0;9;244;0;23;140;140;140;0;0;97;0;22;0;21;0;90;0;0;50;132;0;0;131;1;0;0;8;132;132;0;0;0;8;3;3;0;51;0;85;0;1;135;135;0;5;125;0;10;136;136;136;0;0;79;0;28;0;29;0;93;0;0;43;131;4;0;126;1;0;0;5;131;131;0;0;0;5;7;7;0;47;0;81;0;1;132;132;0;4;119;0;13
250030405000015;1;1152;1152;1150;0;2;802;4;191;13;98;44;1125;6;0;21;1137;562;3;226;44;300;2;15;1119;979;121;13;6;33;1095;894;201;26;0;31;0;0;1128;1128;0;24;1042;49;37;574;574;573;0;1;400;1;97;8;49;19;559;4;0;11;567;269;1;118;25;154;0;7;561;492;59;7;3;13;546;442;104;13;0;15;0;0;561;561;0;13;513;30;18;578;578;577;0;1;402;3;94;5;49;25;566;2;0;10;570;293;2;108;19;146;2;8;558;487;62;6;3;20;549;452;97;13;0;16;0;0;567;567;0;11;529;19;19
250030405000016;8;1203;1200;1200;0;0;535;12;7;384;205;57;27;646;123;404;988;0;2;919;37;0;30;212;361;314;41;4;2;839;4;2;2;756;36;0;0;404;1163;1163;0;37;919;99;145;616;614;614;0;0;277;6;4;198;100;29;15;334;66;199;500;0;1;458;22;0;19;114;178;156;20;1;1;436;2;1;1;381;17;0;0;214;591;591;0;23;464;48;79;587;586;586;0;0;258;6;3;186;105;28;12;312;57;205;488;0;1;461;15;0;11;98;183;158;21;3;1;403;2;1;1;375;19;0;0;190;572;572;0;14;455;51;66
250030405000017;8;144;144;144;0;0;54;0;0;89;1;0;0;3;0;141;117;0;0;96;21;0;0;27;117;98;19;0;0;27;0;0;0;144;0;0;0;0;144;144;0;0;94;0;50;76;76;76;0;0;31;0;0;44;1;0;0;2;0;74;60;0;0;49;11;0;0;16;60;48;12;0;0;16;0;0;0;76;0;0;0;0;76;76;0;0;53;0;23;68;68;68;0;0;23;0;0;45;0;0;0;1;0;67;57;0;0;47;10;0;0;11;57;50;7;0;0;11;0;0;0;68;0;0;0;0;68;68;0;0;41;0;27
250030405000018;5;1241;1241;1241;0;0;1136;0;69;7;29;0;1232;0;0;9;1240;61;0;1133;26;0;20;1;1234;1138;92;2;2;7;1163;9;1154;34;0;43;0;1;1235;1235;0;6;1190;33;12;602;602;602;0;0;550;0;33;4;15;0;596;0;0;6;601;29;0;551;12;0;9;1;598;545;51;1;1;4;558;5;553;19;0;24;0;1;598;598;0;4;576;17;5;639;639;639;0;0;586;0;36;3;14;0;636;0;0;3;639;32;0;582;14;0;11;0;636;593;41;1;1;3;605;4;601;15;0;19;0;0;637;637;0;2;614;16;7
250030405000019;5;545;545;545;0;0;502;0;16;3;24;0;429;0;0;116;543;196;0;347;0;0;0;2;543;513;22;8;0;2;455;455;0;73;0;17;0;0;542;542;0;3;510;4;28;259;259;259;0;0;239;0;10;1;9;0;200;0;0;59;258;88;0;170;0;0;0;1;258;248;7;3;0;1;211;211;0;41;0;7;0;0;257;257;0;2;241;2;14;286;286;286;0;0;263;0;6;2;15;0;229;0;0;57;285;108;0;177;0;0;0;1;285;265;15;5;0;1;244;244;0;32;0;10;0;0;285;285;0;1;269;2;14
250030405000020;8;402;402;402;0;0;189;27;0;72;19;95;78;67;84;173;394;0;3;247;123;0;21;8;347;327;20;0;0;55;0;0;0;295;5;102;0;0;390;389;1;12;305;3;81;206;206;206;0;0;93;13;0;40;10;50;37;37;39;93;202;0;2;123;69;0;8;4;175;166;9;0;0;31;0;0;0;152;5;49;0;0;199;199;0;7;155;1;43;196;196;196;0;0;96;14;0;32;9;45;41;30;45;80;192;0;1;124;54;0;13;4;172;161;11;0;0;24;0;0;0;143;0;53;0;0;191;190;1;5;150;2;38
250030405000021;8;349;349;349;0;0;331;0;0;12;6;0;57;39;57;196;312;0;276;15;0;0;21;37;294;270;24;0;0;55;0;0;0;283;17;42;0;7;345;345;0;4;341;0;4;184;184;184;0;0;173;0;0;6;5;0;34;21;27;102;166;0;143;11;0;0;12;18;156;142;14;0;0;28;0;0;0;145;11;24;0;4;180;180;0;4;179;0;1;165;165;165;0;0;158;0;0;6;1;0;23;18;30;94;146;0;133;4;0;0;9;19;138;128;10;0;0;27;0;0;0;138;6;18;0;3;165;165;0;0;162;0;3
250030405000022;8;245;245;245;0;0;179;0;0;0;64;2;183;0;0;62;238;15;0;207;0;3;13;7;234;230;4;0;0;11;97;97;0;82;0;50;5;11;222;222;0;23;220;2;0;115;115;115;0;0;83;0;0;0;31;1;87;0;0;28;112;9;0;96;0;0;7;3;109;108;1;0;0;6;51;51;0;37;0;19;3;5;102;102;0;13;101;1;0;130;130;130;0;0;96;0;0;0;33;1;96;0;0;34;126;6;0;111;0;3;6;4;125;122;3;0;0;5;46;46;0;45;0;31;2;6;120;120;0;10;119;1;0
250030405000023;8;260;260;260;0;0;215;0;2;0;2;41;0;0;126;134;248;0;0;226;3;0;19;12;241;236;5;0;0;19;0;0;0;234;0;26;0;0;260;260;0;0;253;0;7;146;146;146;0;0;122;0;1;0;1;22;0;0;72;74;140;0;0;131;1;0;8;6;135;133;2;0;0;11;0;0;0;132;0;14;0;0;146;146;0;0;142;0;4;114;114;114;0;0;93;0;1;0;1;19;0;0;54;60;108;0;0;95;2;0;11;6;106;103;3;0;0;8;0;0;0;102;0;12;0;0;114;114;0;0;111;0;3
