Cod_setor;Situacao_setor;V001;V002;V003
250110405000024;1;75;0;0
250110405000025;1;74;0;0
250110405000026;1;91;0;0
250110405000027;1;150;0;0
250110405000028;1;136;0;0
250110405000029;1;126;0;0
250110405000030;1;141;0;0
250110405000031;1;181;0;0
250110410000001;1;136;0;0
250110410000002;8;60;0;0
250110410000003;8;24;0;0
250110410000004;8;133;1;0
250110410000005;8;71;0;0
250110415000001;1;216;0;0
250110415000002;8;148;0;0
250110415000003;8;87;0;0
250110415000004;8;32;0;2
250110415000005;8;8;0;0
250110420000001;1;55;0;0
250110420000002;8;24;0;0
250110420000003;8;87;1;0
250110420000004;8;135;0;0
250110420000005;8;10;0;0
250110420000006;8;62;0;0
250110420000007;8;76;0;0
250110420000008;8;49;0;0
250115305000001;1;212;0;0
250115305000002;5;45;0;0
250115305000003;8;21;0;0
250115305000004;8;37;0;0
250115305000005;8;30;0;0
250120305000001;1;191;0;0
250120305000002;1;92;1;0
250120305000003;1;154;1;0
250120305000004;1;200;0;0
250120305000005;8;108;0;0
250120305000006;8;8;0;0
250120305000007;8;56;0;0
250120305000008;8;258;2;0
250120305000009;1;152;0;0
250130205000001;1;142;1;0
250130205000002;1;137;0;0
250130205000003;1;111;0;1
250130205000004;1;81;0;0
250130205000005;1;87;0;0
250130205000006;1;137;0;0
250130205000007;1;103;0;0
250130205000008;1;133;0;0
250130205000009;8;37;0;0
250130205000010;8;27;0;0
250130205000011;8;91;1;3
250130205000012;8;139;3;0
250130205000013;8;94;1;0
250130205000014;8;194;0;1
250130205000015;8;112;0;0
250130205000016;8;119;0;0
250130205000017;8;136;2;0
250130205000018;8;148;0;0
250130205000019;8;90;0;0
250130205000020;8;66;2;0
250130205000021;8;92;0;0
250130205000022;8;58;0;0
250130205000023;8;85;0;0
250130205000024;8;91;1;0
250130205000025;1;153;0;0
250130205000026;1;160;0;0
250130205000027;1;264;5;0
250130205000028;5;47;0;0
250130220000001;1;173;1;0
250130220000002;8;127;0;0
250130220000003;8;114;1;0
250130220000004;8;2;"X";"X"
250130220000005;8;57;"X";"X"
250130220000006;1;185;1;0
250135105000001;1;140;1;0
250135105000002;1;144;1;0
250135105000003;8;41;0;0
250135105000004;8;111;1;1
250135105000005;1;186;2;0
250135105000006;1;65;0;0
250140105000001;1;83;1;0
250140105000002;1;145;0;0
250140105000003;1;96;0;0
250140105000004;1;149;0;0
250140105000005;1;69;1;0
250140105000006;7;49;0;0
250140105000007;7;233;1;0
250140105000008;7;177;0;0
250140105000009;7;134;0;0
250140105000010;7;64;0;0
250140105000011;7;45;0;0
250140105000012;7;44;0;0
250140105000013;7;38;0;0
250140105000014;7;319;2;0
250140105000015;8;11;0;0
250140105000016;8;24;0;0
250140105000017;7;94;2;0
250140105000018;7;31;0;0
250140105000019;7;22;0;0
250140105000020;7;4;0;0
250150005000001;1;170;0;0
250150005000002;1;136;0;0
250150005000003;1;118;0;2
250150005000004;1;169;0;0
250150005000005;1;156;0;0
250150005000006;1;146;0;0
250150005000007;1;8;0;0
250150005000008;8;134;0;0
250150005000009;8;120;0;0
250150005000010;8;153;0;0
250150005000011;8;241;0;0
250150005000012;8;7;"X";"X"
250150005000013;8;32;1;0
250150005000014;8;23;0;0
250150005000015;8;95;0;0
250150005000016;8;24;0;0
250150005000017;1;280;0;0
250150005000018;1;48;0;0
250150005000019;5;83;0;0
250150005000020;4;162;0;0
250150005000021;5;3;"X";"X"
250150010000001;1;140;0;0
250150010000002;8;104;0;0
250150010000003;8;98;0;0
250150010000004;8;116;0;0
250150010000005;8;100;0;0
250150010000006;8;46;0;0
250150010000007;8;97;0;0
250150010000008;8;28;0;0
250150010000009;5;78;0;0
250150010000010;5;133;0;0
250150010000011;8;74;0;0
250150020000001;1;136;0;0
250150020000002;8;72;0;0
250150020000003;8;115;0;0
250150020000004;8;64;0;0
250150020000005;8;29;0;0
250150020000006;8;219;2;0
250150020000007;8;94;0;0
250150020000008;8;128;0;0
250150020000009;1;50;0;0
250150020000010;5;24;0;0
250153405000001;1;128;0;0
250153405000002;1;114;0;0
250153405000003;8;140;0;0
250153405000004;8;63;0;0
250153405000005;1;244;1;0
250153405000006;1;134;1;0
250157505000001;1;132;0;0
250157505000002;8;104;0;0
250157505000003;8;116;0;0
250157505000004;8;119;0;0
250157505000005;8;55;0;0
250157505000006;8;50;1;0
250157505000007;8;67;0;0
250157505000008;8;115;0;0
250157505000009;8;84;0;0
250157505000010;8;75;0;0
250157505000011;8;95;0;0
250157505000012;8;93;0;0
250157505000013;5;102;0;0
250157505000014;5;90;0;0
250157505000015;4;33;"X";"X"
250157505000016;5;34;0;0
250157505000017;5;63;0;0
250157505000018;5;0;"X";"X"
250160905000001;1;78;0;0
250160905000002;1;71;0;0
250160905000003;1;91;0;0
250160905000004;1;126;0;0
250160905000005;1;106;0;0
250160905000006;1;69;0;0
250160905000007;1;125;0;0
250160905000008;1;91;0;0
250160905000009;8;76;0;0
250160905000010;8;194;1;0
250160905000011;8;196;0;0
250160905000012;8;138;0;0
250160905000013;8;58;0;0
250160905000014;8;172;0;0
250160905000015;8;118;0;0
250160905000016;8;138;0;0
250160905000017;5;68;0;0
250160905000018;5;25;0;0
250160905000019;1;167;0;0
250160905000020;1;118;0;0
250160905000021;1;65;0;0
250160905000022;1;124;0;0
250160905000023;1;147;0;1
250160905000024;1;56;0;0
250160905000025;1;78;0;0
250170805000001;1;80;1;0
250170805000002;1;100;0;0
250170805000003;8;60;0;0
250170805000004;8;78;0;0
250170805000005;8;54;0;0
250170805000006;8;166;2;0
250170805000007;5;17;0;0
250170805000008;5;176;0;0
250170805000009;1;65;0;0
250170805000010;1;190;0;0
250180705000001;1;42;0;0
250180705000002;1;150;0;0
250180705000003;1;114;1;0
250180705000004;1;129;0;0
250180705000005;1;103;0;0
250180705000006;1;143;0;0
250180705000007;1;97;0;0
250180705000008;1;78;0;0
250180705000009;1;167;1;0
250180705000010;1;199;0;0
250180705000011;1;130;0;0
250180705000012;1;263;1;0
250180705000013;1;227;1;0
250180705000014;1;145;0;0
250180705000015;1;224;1;0
250180705000016;1;163;0;0
250180705000017;1;290;0;0
250180705000018;1;212;0;0
250180705000019;1;175;0;1
250180705000020;1;57;0;0
250180705000021;1;109;1;0
250180705000022;1;185;0;0
250180705000023;1;118;0;0
250180705000024;1;159;0;0
250180705000025;1;170;1;0
250180705000026;1;158;0;0
250180705000027;1;142;0;0
250180705000028;1;246;2;0
250180705000029;1;179;0;0
250180705000030;1;246;0;0
250180705000031;1;202;1;1
250180705000032;1;190;1;0
250180705000033;1;146;1;0
250180705000034;1;242;0;0
250180705000035;1;98;0;0
250180705000036;1;153;2;0
250180705000037;1;50;1;0
250180705000038;1;99;0;0
250180705000039;1;103;0;0
250180705000040;1;71;0;0
250180705000041;1;177;0;0
250180705000042;1;143;0;0
250180705000043;1;134;0;0
250180705000044;1;135;0;0
250180705000045;1;176;5;0
250180705000046;1;184;1;0
250180705000047;1;221;0;0
250180705000048;1;45;0;0
250180705000049;1;166;0;0
250180705000050;1;99;0;0
250180705000051;1;122;1;0
250180705000052;1;137;0;0
250180705000053;1;173;0;0
250180705000054;1;125;0;0
250180705000055;1;180;0;0
250180705000056;1;117;0;0
250180705000057;1;75;0;0
250180705000058;1;160;0;0
250180705000059;1;183;2;0
250180705000060;1;146;0;1
250180705000061;1;218;1;0
250180705000062;1;212;0;0
250180705000063;1;102;0;0
250180705000065;1;86;0;0
250180705000066;1;162;0;0
250180705000067;1;95;1;0
250180705000068;1;176;0;3
250180705000069;1;126;0;0
250180705000070;1;193;0;0
250180705000071;1;186;0;0
250180705000072;1;154;1;0
250180705000073;1;136;0;1
250180705000074;1;165;1;4
250180705000075;1;94;1;0
250180705000076;1;78;0;0
250180705000077;1;103;0;0
250180705000078;1;136;0;0
250180705000079;1;168;0;0
250180705000080;1;157;1;0
250180705000081;1;6;0;0
250180705000082;1;67;1;0
250180705000083;1;13;0;0
250180705000085;1;113;1;0
250180705000086;1;39;0;0
250180705000087;1;34;1;0
250180705000088;1;120;0;0
250180705000089;1;111;0;0
250180705000091;1;91;0;0
250180705000092;8;226;0;0
250180705000094;1;116;0;0
250180705000095;1;102;2;0
250180705000096;1;104;0;0
250180705000097;1;61;0;0
250180705000098;1;224;2;0
250180705000099;1;196;0;0
250180705000100;1;92;2;0
250180705000101;1;181;0;1
250180705000102;1;174;0;0
250180705000103;1;176;1;0
250180705000104;1;112;0;0
250180705000105;1;40;0;0
250180705000106;1;122;0;0
250180705000107;1;205;0;0
250180705000108;1;101;1;1
250180705000109;1;111;0;0
250180705000110;1;104;0;0
250180705000111;1;96;0;0
250180705000112;1;112;0;0
250180705000113;1;81;0;0
250180705000114;1;66;1;0
250180705000115;1;179;1;0
250180705000116;1;122;1;0
250180705000117;1;124;2;0
250180705000118;1;83;0;1
250180705000119;1;131;0;0
250180705000120;1;284;0;1
250180705000121;1;294;0;1
250180705000122;1;185;0;0
250180705000123;1;130;0;0
250180705000124;1;117;0;0
250180705000125;1;99;2;0
250180705000126;1;197;0;0
250180705000127;1;173;0;0
250180705000128;1;425;0;0
250180705000129;1;167;0;0
250180705000130;1;19;0;0
250180705000131;1;9;0;0
250180705000132;1;48;0;0
250180705000133;1;42;0;0
250180705000134;1;9;0;0
250190605000001;1;100;0;0
250190605000002;1;108;0;0
250190605000003;1;132;0;0
250190605000004;1;83;0;0
250190605000005;1;66;1;0
250190605000006;1;135;0;0
250190605000007;1;132;0;0
250190605000008;1;159;1;0
250190605000009;1;155;0;0
250190605000010;1;216;3;0
250190605000011;1;127;0;0
250190605000012;1;248;0;0
250190605000013;1;187;0;0
250190605000014;8;94;0;0
250190605000015;8;39;0;0
250190605000016;8;69;0;0
250190605000017;8;94;1;0
250190605000018;1;54;0;0
250190605000019;1;112;0;0
250190605000020;1;105;1;0
250190610000001;1;151;0;0
250190610000002;8;168;0;0
250190610000003;8;70;1;0
250190610000004;1;141;2;1
250200305000001;1;168;4;0
250200305000002;1;145;1;0
250200305000003;1;123;0;0
250200305000004;1;144;2;0
250200305000005;8;15;0;0
250200305000006;8;20;1;0
250200305000007;8;38;1;0
250200305000008;8;81;4;0
250200305000009;8;48;0;0
250200305000010;8;25;0;0
250200305000011;8;29;0;0
250200305000012;8;20;0;0
250200305000013;8;31;0;0
250200305000014;1;171;0;0
250200305000015;1;95;2;0
250200305000016;1;115;0;0
250205205000001;1;200;0;0
250205205000002;8;154;0;0
250205205000003;8;144;0;0
250205205000004;5;64;0;0
250205205000005;5;130;0;0
250210205000001;1;207;1;0
250210205000002;1;123;1;0
250210205000003;1;256;0;0
250210205000004;8;162;0;0
250210205000005;8;134;0;1
250210205000006;8;78;0;0
250210205000007;8;25;0;0
250210205000008;5;17;0;0
250215105000001;1;122;0;0
250215105000002;1;109;0;0
250215105000003;8;107;0;0
250215105000004;8;160;1;0
250215105000005;8;76;0;0
250215105000006;8;107;0;0
250215105000007;1;176;0;0
250215105000008;1;166;1;0
250215105000009;4;58;0;0
250220105000001;1;184;1;0
250220105000002;8;69;0;0
250220105000003;8;63;0;0
250220105000004;5;137;0;0
250230005000001;1;127;0;0
250230005000002;1;122;2;0
250230005000003;8;17;0;0
250230005000004;8;48;0;0
250230005000005;8;63;0;0
250230005000006;5;31;0;0
250230005000007;8;67;2;0
250230005000008;8;40;0;0
250230005000009;8;102;1;0
250230005000010;8;84;1;0
250230005000011;1;94;0;0
250240905000001;1;134;1;0
250240905000002;1;354;0;0
250240905000003;1;133;0;0
250240905000004;1;172;0;0
250240905000005;1;269;0;0
250240905000006;8;164;1;0
250240905000007;8;70;0;0
250240905000008;8;71;0;0
250240905000009;8;73;1;0
250240905000010;8;144;2;0
250240905000011;1;188;2;0
250240905000012;1;157;3;0
250240930000001;1;146;1;0
250240930000002;8;127;0;0
250240930000003;8;87;0;0
250250805000001;1;114;0;0
250250805000002;1;131;2;0
250250805000003;1;78;0;0
250250805000004;1;142;0;0
250250805000005;1;244;0;0
250250805000006;1;228;1;0
250250805000007;1;137;1;0
250250805000008;1;149;0;0
250250805000009;1;163;0;0
250250805000010;1;171;0;0
250250805000011;1;182;0;0
250250805000012;1;150;1;0
250250805000013;8;142;0;0
250250805000014;8;120;1;0
250250805000015;8;50;0;0
250250805000016;8;195;0;0
250250805000017;8;67;1;0
250250805000018;8;52;1;0
250250805000019;1;141;0;0
250250805000020;1;123;0;0
250250805000021;4;54;0;0
250250805000022;5;53;0;0
250250805000023;5;57;0;0
250250830000001;1;92;0;0
250250830000002;8;48;0;0
250250830000003;8;44;1;0
250250830000004;5;24;0;0
250260705000001;1;214;3;0
250260705000002;1;152;0;0
250260705000003;1;211;0;0
250260705000004;1;169;0;0
250260705000005;8;32;0;0
250260705000006;8;102;0;0
250260705000007;8;75;0;0
250260705000008;8;56;0;0
250260705000009;8;32;0;0
250260705000010;8;19;0;0
250260705000011;8;56;0;0
250270605000001;1;157;0;0
250270605000002;1;156;0;0
250270605000003;1;191;0;0
250270605000004;8;139;0;0
250270605000005;8;76;0;0
250270605000006;8;68;0;0
250270605000007;8;14;0;0
250270605000008;1;277;0;0
250280505000001;1;106;1;0
250280505000002;1;112;0;0
250280505000003;1;45;0;0
250280505000004;1;177;0;0
250280505000005;1;151;1;0
250280505000006;1;111;0;0
250280505000007;1;150;0;0
250280505000008;1;154;3;1
250280505000009;1;279;0;0
250280505000010;8;52;0;0
250280505000011;8;33;2;0
250280505000012;8;204;0;0
250280505000013;8;59;0;0
250280505000014;8;52;0;0
250280505000015;8;85;3;0
250280505000016;8;75;0;0
250280505000017;1;95;0;0
250280505000018;1;130;1;0
250280505000019;1;154;0;0
250280505000020;1;122;0;0
250290405000001;1;64;2;0
250290405000002;1;121;0;0
250290405000003;1;139;1;0
250290405000004;1;212;0;0
250290405000005;8;71;1;0
250290405000006;8;62;0;0
250290405000007;8;53;0;0
250290405000008;8;83;1;0
250290405000009;1;166;1;0
250290405000010;1;84;0;0
250300105000001;1;129;0;0
250300105000002;1;258;1;3
250300105000003;1;164;0;2
250300105000004;1;208;0;0
250300105000005;1;195;1;0
250300105000006;1;156;1;0
250300105000007;1;282;0;0
250300105000008;1;106;0;0
250300105000009;1;238;4;0
250300105000010;1;175;1;0
250300105000011;8;63;1;0
250300105000012;8;133;0;0
250300105000013;8;159;1;0
250300105000014;8;6;0;0
250300105000015;1;233;0;0
250300105000016;1;157;4;1
250300105000017;1;174;0;0
250300105000018;1;260;1;0
250300105000019;1;242;1;0
250300105000020;1;156;1;0
250300115000001;1;308;1;0
250300115000002;1;190;0;0
250300115000003;8;121;1;0
250300115000004;5;94;1;0
250300115000005;8;12;0;0
250300115000006;8;27;0;0
250300115000007;1;162;1;0
250310005000001;1;74;0;0
250310005000002;1;134;0;0
250310005000003;8;161;2;0
250310005000004;8;47;0;0
250310005000005;8;106;0;0
250310005000006;5;32;0;0
250310005000007;8;162;0;0
250310005000008;1;102;0;0
250310005000009;1;90;0;0
250320905000001;1;166;0;0
250320905000002;1;105;0;0
250320905000003;1;108;1;0
250320905000004;1;130;0;0
250320905000005;1;119;1;0
250320905000006;1;112;0;0
250320905000007;1;187;0;0
250320905000008;1;113;0;0
250320905000009;1;95;0;0
250320905000010;1;175;0;1
250320905000011;1;114;0;0
250320905000012;1;131;0;0
250320905000013;1;89;0;0
250320905000014;1;181;0;0
250320905000015;1;24;0;0
250320905000016;1;200;0;0
250320905000017;1;153;1;0
250320905000018;1;14;0;0
250320905000019;1;147;1;0
250320905000020;1;58;0;0
250320905000021;1;80;0;0
250320905000022;1;64;0;0
250320905000023;1;34;0;0
250320905000024;1;49;0;0
250320905000025;1;100;0;0
250320905000026;1;82;1;0
250320905000027;1;42;1;0
250320905000028;1;56;0;0
250320905000029;1;67;0;0
250320905000030;1;46;0;0
250320905000031;1;90;0;0
250320905000032;1;85;0;0
250320905000033;1;115;0;1
250320905000034;1;131;0;0
250320905000035;1;109;0;0
250320905000036;1;46;0;0
250320905000037;1;196;0;0
250320905000038;1;22;"X";"X"
250320905000039;8;1;"X";"X"
250320905000040;1;175;1;0
250320905000041;1;102;0;0
250320905000042;1;87;0;0
250320905000043;1;117;0;0
250320905000044;1;80;0;0
250320905000045;1;120;0;0
250320905000046;1;98;0;0
250320905000047;1;64;0;1
250320905000048;1;132;0;0
250320905000049;1;107;0;0
250320905000050;1;132;0;0
250320905000051;1;37;0;0
250320905000052;1;19;0;0
250320905000053;1;142;0;0
250320905000054;1;168;2;0
250320905000055;1;223;1;0
250320905000056;1;170;0;0
250320905000057;1;6;0;0
250320905000058;1;22;0;0
250320905000059;1;52;1;0
250320905000060;1;25;0;0
250320905000061;1;26;0;0
250320905000062;1;196;1;0
250320905000063;1;185;0;0
250320905000064;1;75;1;0
250320905000065;1;73;1;0
250320905000066;1;194;2;0
250320905000067;1;291;3;3
250320905000068;1;267;0;0
250320905000069;1;391;1;1
250320905000070;1;386;0;0
250320905000071;1;42;0;0
250320905000072;1;39;0;0
250320905000073;1;68;0;0
250320905000074;1;51;0;0
250320905000075;1;60;0;0
250320905000076;1;76;0;0
250320905000077;1;96;0;0
250320905000078;1;94;0;0
250320925000001;1;201;0;0
250320925000002;1;237;4;0
250320925000003;1;128;0;0
250320925000004;1;194;7;0
250320925000005;1;155;0;0
250320925000006;1;225;0;0
250320925000007;1;257;2;0
250320925000008;1;213;0;0
250320925000009;1;161;0;0
250330805000001;1;195;0;0
250330805000002;1;185;0;0
250330805000003;8;75;1;0
250330805000004;8;41;"X";"X"
250330805000005;8;50;0;0
250330805000006;8;78;0;0
250330805000007;1;128;2;0
250330805000008;8;221;2;0
250330805000009;8;101;0;0
250330805000010;8;43;1;1
250330805000011;8;2;"X";"X"
250330810000001;1;19;0;0
250330810000002;8;33;1;0
250330815000001;1;38;0;0
250330815000002;8;172;0;0
250330815000003;8;73;0;0
250330820000001;1;39;0;0
250330820000002;8;112;1;0
250330820000003;5;74;1;0
250340705000001;1;129;0;0
250340705000002;8;56;0;0
250340705000003;8;104;1;0
250340705000004;8;118;0;0
250340705000005;8;30;0;0
250340705000006;1;187;2;0
250350605000001;1;82;0;0
250350605000002;1;120;1;0
250350605000003;1;80;0;0
250350605000004;1;112;0;0
250350605000005;1;188;0;0
250350605000006;1;166;0;0
250350605000007;1;151;0;0
250350605000008;8;153;0;0
250350605000009;8;112;0;0
250350605000010;8;138;1;0
250350605000011;8;87;0;0
250350605000012;8;47;0;0
250350605000013;8;105;1;0
250350605000014;8;60;2;0
250350605000015;8;128;0;0
250350605000016;8;63;0;0
250350605000017;8;19;0;0
250350605000018;8;236;1;0
250350605000019;5;259;0;0
250350605000020;8;17;0;0
250350605000021;5;85;0;0
250350605000022;1;157;0;0
250350605000023;1;255;2;0
250350605000024;1;140;0;0
250350605000025;1;121;0;0
250350605000026;1;174;0;0
250355505000001;1;143;1;0
250355505000002;1;187;1;0
250355505000003;8;230;0;0
250355505000004;8;62;0;0
250355505000005;8;43;0;0
250355505000006;8;12;0;0
250355505000007;8;192;0;0
250355505000008;8;174;0;0
250355505000009;5;358;0;0
250355505000010;8;105;8;0
250355505000011;8;288;2;0
250360505000001;1;134;0;0
250360505000002;1;138;0;0
250360505000003;1;220;0;0
250360505000004;1;145;1;0
