Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
250010605000011;1;176;277;87;22;16;5;0;1;0;338;23553;132902;73632;27847;33150;14960;0;10000;0;922;584;316044;50;137;52;9;8;3;0;1;0;177;7600;65548;42868;11840;16050;8460;0;10000;0;437;260;162366;126;140;35;13;8;2;0;0;0;161;15953;67354;30764;16007;17100;6500;0;0;0;485;324;153678;176;277;87;22;16;5;0;1;0;338;23553;132902;73632;27847;33150;14960;0;10000;0;922;584;316044;50;137;52;9;8;3;0;1;0;177;7600;65548;42868;11840;16050;8460;0;10000;0;437;260;162366;126;140;35;13;8;2;0;0;0;161;15953;67354;30764;16007;17100;6500;0;0;0;485;324;153678;
250010605000012;5;30;37;15;4;0;0;0;0;0;69;2903;17642;12114;5610;0;0;0;0;0;155;86;38269;11;16;8;2;0;0;0;0;0;36;952;7555;6802;3000;0;0;0;0;0;73;37;18309;19;21;7;2;0;0;0;0;0;33;1951;10087;5312;2610;0;0;0;0;0;82;49;19960;30;37;15;4;0;0;0;0;0;69;2903;17642;12114;5610;0;0;0;0;0;155;86;38269;11;16;8;2;0;0;0;0;0;36;952;7555;6802;3000;0;0;0;0;0;73;37;18309;19;21;7;2;0;0;0;0;0;33;1951;10087;5312;2610;0;0;0;0;0;82;49;19960;
250010605000013;5;36;14;13;0;0;0;0;0;0;61;3861;6665;9826;0;0;0;0;0;0;124;63;20352;6;9;8;0;0;0;0;0;0;44;550;4225;5789;0;0;0;0;0;0;67;23;10564;30;5;5;0;0;0;0;0;0;17;3311;2440;4037;0;0;0;0;0;0;57;40;9788;36;14;13;0;0;0;0;0;0;61;3861;6665;9826;0;0;0;0;0;0;124;63;20352;6;9;8;0;0;0;0;0;0;44;550;4225;5789;0;0;0;0;0;0;67;23;10564;30;5;5;0;0;0;0;0;0;17;3311;2440;4037;0;0;0;0;0;0;57;40;9788;
250010605000014;8;107;105;46;1;0;0;0;0;0;258;12064;51218;34084;1100;0;0;0;0;0;517;259;98466;37;68;26;1;0;0;0;0;0;150;3842;33280;18980;1100;0;0;0;0;0;282;132;57202;70;37;20;0;0;0;0;0;0;108;8222;17938;15104;0;0;0;0;0;0;235;127;41264;107;105;45;1;0;0;0;0;0;258;12064;51218;33414;1100;0;0;0;0;0;516;258;97796;37;68;25;1;0;0;0;0;0;150;3842;33280;18310;1100;0;0;0;0;0;281;131;56532;70;37;20;0;0;0;0;0;0;108;8222;17938;15104;0;0;0;0;0;0;235;127;41264;
250020505000001;1;143;261;109;28;25;8;2;0;5;275;16473;126756;89966;39034;53271;29600;11510;0;285510;856;581;652120;46;121;33;11;12;7;1;0;4;155;5494;58560;27170;14910;26316;25600;5510;0;230510;390;235;394070;97;140;76;17;13;1;1;0;1;120;10979;68196;62796;24124;26955;4000;6000;0;55000;466;346;258050;142;261;109;27;25;8;2;0;5;275;16405;126756;89966;37824;53271;29600;11510;0;285510;854;579;650842;46;121;33;10;12;7;1;0;4;155;5494;58560;27170;13700;26316;25600;5510;0;230510;389;234;392860;96;140;76;17;13;1;1;0;1;120;10911;68196;62796;24124;26955;4000;6000;0;55000;465;345;257982;
250020505000002;1;143;202;76;13;8;4;1;0;0;171;15697;99023;65269;16751;16832;14936;6000;0;0;618;447;234508;49;101;26;8;5;2;0;0;0;93;5334;48534;22213;9940;10650;7026;0;0;0;284;191;103697;94;101;50;5;3;2;1;0;0;78;10363;50489;43056;6811;6182;7910;6000;0;0;334;256;130811;143;202;76;13;8;4;1;0;0;171;15697;99023;65269;16751;16832;14936;6000;0;0;618;447;234508;49;101;26;8;5;2;0;0;0;93;5334;48534;22213;9940;10650;7026;0;0;0;284;191;103697;94;101;50;5;3;2;1;0;0;78;10363;50489;43056;6811;6182;7910;6000;0;0;334;256;130811;
250020505000003;8;95;72;21;3;2;0;1;0;0;92;10267;33743;17172;3900;3691;0;5500;0;0;286;194;74273;42;31;12;1;2;0;1;0;0;50;4697;14301;9280;1200;3691;0;5500;0;0;139;89;38669;53;41;9;2;0;0;0;0;0;42;5570;19442;7892;2700;0;0;0;0;0;147;105;35604;95;72;21;3;2;0;1;0;0;92;10267;33743;17172;3900;3691;0;5500;0;0;286;194;74273;42;31;12;1;2;0;1;0;0;50;4697;14301;9280;1200;3691;0;5500;0;0;139;89;38669;53;41;9;2;0;0;0;0;0;42;5570;19442;7892;2700;0;0;0;0;0;147;105;35604;
250020505000004;8;73;67;22;2;2;1;0;0;0;74;9327;32238;18028;3030;3795;3000;0;0;0;241;167;69418;38;37;8;2;1;1;0;0;0;41;5030;17272;6770;3030;2148;3000;0;0;0;128;87;37250;35;30;14;0;1;0;0;0;0;33;4297;14966;11258;0;1647;0;0;0;0;113;80;32168;73;67;22;2;2;1;0;0;0;74;9327;32238;18028;3030;3795;3000;0;0;0;241;167;69418;38;37;8;2;1;1;0;0;0;41;5030;17272;6770;3030;2148;3000;0;0;0;128;87;37250;35;30;14;0;1;0;0;0;0;33;4297;14966;11258;0;1647;0;0;0;0;113;80;32168;
250020505000005;8;31;15;2;1;0;0;0;0;0;42;3322;7482;2040;1088;0;0;0;0;0;91;49;13932;10;8;1;0;0;0;0;0;0;31;1090;4070;1020;0;0;0;0;0;0;50;19;6180;21;7;1;1;0;0;0;0;0;11;2232;3412;1020;1088;0;0;0;0;0;41;30;7752;31;15;2;1;0;0;0;0;0;42;3322;7482;2040;1088;0;0;0;0;0;91;49;13932;10;8;1;0;0;0;0;0;0;31;1090;4070;1020;0;0;0;0;0;0;50;19;6180;21;7;1;1;0;0;0;0;0;11;2232;3412;1020;1088;0;0;0;0;0;41;30;7752;
250020505000006;8;143;95;30;3;1;0;0;0;0;222;15353;44455;21951;3891;2000;0;0;0;0;494;272;87650;51;44;16;2;1;0;0;0;0;135;5183;20390;12030;2700;2000;0;0;0;0;249;114;42303;92;51;14;1;0;0;0;0;0;87;10170;24065;9921;1191;0;0;0;0;0;245;158;45347;143;95;30;3;1;0;0;0;0;222;15353;44455;21951;3891;2000;0;0;0;0;494;272;87650;51;44;16;2;1;0;0;0;0;135;5183;20390;12030;2700;2000;0;0;0;0;249;114;42303;92;51;14;1;0;0;0;0;0;87;10170;24065;9921;1191;0;0;0;0;0;245;158;45347;
250020505000007;8;97;97;18;3;0;0;0;0;0;145;10388;46510;13581;3796;0;0;0;0;0;360;215;74275;43;40;7;0;0;0;0;0;0;76;4404;18990;5691;0;0;0;0;0;0;166;90;29085;54;57;11;3;0;0;0;0;0;69;5984;27520;7890;3796;0;0;0;0;0;194;125;45190;97;97;18;3;0;0;0;0;0;145;10388;46510;13581;3796;0;0;0;0;0;360;215;74275;43;40;7;0;0;0;0;0;0;76;4404;18990;5691;0;0;0;0;0;0;166;90;29085;54;57;11;3;0;0;0;0;0;69;5984;27520;7890;3796;0;0;0;0;0;194;125;45190;
250020505000008;8;40;58;5;3;0;0;0;0;0;66;4652;28375;4260;4000;0;0;0;0;0;172;106;41287;14;29;2;2;0;0;0;0;0;45;1624;14105;1720;2730;0;0;0;0;0;92;47;20179;26;29;3;1;0;0;0;0;0;21;3028;14270;2540;1270;0;0;0;0;0;80;59;21108;40;58;5;3;0;0;0;0;0;66;4652;28375;4260;4000;0;0;0;0;0;172;106;41287;14;29;2;2;0;0;0;0;0;45;1624;14105;1720;2730;0;0;0;0;0;92;47;20179;26;29;3;1;0;0;0;0;0;21;3028;14270;2540;1270;0;0;0;0;0;80;59;21108;
250020505000009;8;152;172;38;3;3;3;1;0;0;304;17867;84345;32165;4082;5984;11600;6800;0;0;676;372;162843;44;76;18;0;3;2;0;0;0;191;5829;37063;15010;0;5984;8600;0;0;0;334;143;72486;108;96;20;3;0;1;1;0;0;113;12038;47282;17155;4082;0;3000;6800;0;0;342;229;90357;152;172;38;3;3;3;1;0;0;304;17867;84345;32165;4082;5984;11600;6800;0;0;676;372;162843;44;76;18;0;3;2;0;0;0;191;5829;37063;15010;0;5984;8600;0;0;0;334;143;72486;108;96;20;3;0;1;1;0;0;113;12038;47282;17155;4082;0;3000;6800;0;0;342;229;90357;
250020505000010;8;7;3;2;1;1;0;0;0;0;8;832;1530;1620;1150;2000;0;0;0;0;22;14;7132;3;2;1;1;1;0;0;0;0;6;490;1020;600;1150;2000;0;0;0;0;14;8;5260;4;1;1;0;0;0;0;0;0;2;342;510;1020;0;0;0;0;0;0;8;6;1872;7;3;2;1;1;0;0;0;0;8;832;1530;1620;1150;2000;0;0;0;0;22;14;7132;3;2;1;1;1;0;0;0;0;6;490;1020;600;1150;2000;0;0;0;0;14;8;5260;4;1;1;0;0;0;0;0;0;2;342;510;1020;0;0;0;0;0;0;8;6;1872;
250020505000011;1;211;257;90;9;11;3;0;0;0;236;26835;123098;78025;11579;20867;14000;0;0;0;817;581;274404;74;136;44;3;6;3;0;0;0;130;10402;64621;37108;4212;11637;14000;0;0;0;396;266;141980;137;121;46;6;5;0;0;0;0;106;16433;58477;40917;7367;9230;0;0;0;0;421;315;132424;211;257;90;9;11;3;0;0;0;236;26835;123098;78025;11579;20867;14000;0;0;0;817;581;274404;74;136;44;3;6;3;0;0;0;130;10402;64621;37108;4212;11637;14000;0;0;0;396;266;141980;137;121;46;6;5;0;0;0;0;106;16433;58477;40917;7367;9230;0;0;0;0;421;315;132424;
250030405000001;1;35;204;76;36;27;15;3;3;0;246;5451;101057;67704;48650;55231;51643;18100;24000;0;645;399;371836;12;89;25;22;18;11;3;3;0;115;1640;43482;21749;29695;37450;38343;18100;24000;0;298;183;214459;23;115;51;14;9;4;0;0;0;131;3811;57575;45955;18955;17781;13300;0;0;0;347;216;157377;35;204;76;36;27;15;3;3;0;246;5451;101057;67704;48650;55231;51643;18100;24000;0;645;399;371836;12;89;25;22;18;11;3;3;0;115;1640;43482;21749;29695;37450;38343;18100;24000;0;298;183;214459;23;115;51;14;9;4;0;0;0;131;3811;57575;45955;18955;17781;13300;0;0;0;347;216;157377;
250030405000002;1;172;342;57;14;14;7;0;0;0;322;24811;166190;48395;19237;28400;24860;0;0;0;928;606;311893;68;164;34;6;8;4;0;0;0;132;11286;78780;28340;8134;16300;14400;0;0;0;416;284;157240;104;178;23;8;6;3;0;0;0;190;13525;87410;20055;11103;12100;10460;0;0;0;512;322;154653;172;342;57;14;14;7;0;0;0;322;24811;166190;48395;19237;28400;24860;0;0;0;928;606;311893;68;164;34;6;8;4;0;0;0;132;11286;78780;28340;8134;16300;14400;0;0;0;416;284;157240;104;178;23;8;6;3;0;0;0;190;13525;87410;20055;11103;12100;10460;0;0;0;512;322;154653;
250030405000003;1;55;280;87;45;45;26;1;0;1;283;8863;136806;73049;61520;92070;90142;6000;0;10800;823;540;479250;24;130;39;31;19;18;1;0;1;116;4300;63310;33490;42620;37540;62272;6000;0;10800;379;263;260332;31;150;48;14;26;8;0;0;0;167;4563;73496;39559;18900;54530;27870;0;0;0;444;277;218918;55;280;87;45;45;26;1;0;1;283;8863;136806;73049;61520;92070;90142;6000;0;10800;823;540;479250;24;130;39;31;19;18;1;0;1;116;4300;63310;33490;42620;37540;62272;6000;0;10800;379;263;260332;31;150;48;14;26;8;0;0;0;167;4563;73496;39559;18900;54530;27870;0;0;0;444;277;218918;
250030405000004;1;48;139;45;7;10;3;1;0;0;148;6624;68193;37600;8930;20040;8742;7000;0;0;401;253;157129;16;58;24;5;4;1;1;0;0;52;2300;28110;19480;6680;7340;3500;7000;0;0;161;109;74410;32;81;21;2;6;2;0;0;0;96;4324;40083;18120;2250;12700;5242;0;0;0;240;144;82719;48;139;45;7;10;3;1;0;0;148;6624;68193;37600;8930;20040;8742;7000;0;0;401;253;157129;16;58;24;5;4;1;1;0;0;52;2300;28110;19480;6680;7340;3500;7000;0;0;161;109;74410;32;81;21;2;6;2;0;0;0;96;4324;40083;18120;2250;12700;5242;0;0;0;240;144;82719;
250030405000005;1;55;171;5;3;0;0;0;0;0;247;6072;85020;3510;3550;0;0;0;0;0;481;234;98152;4;89;2;2;0;0;0;0;0;128;495;43640;1720;2400;0;0;0;0;0;225;97;48255;51;82;3;1;0;0;0;0;0;119;5577;41380;1790;1150;0;0;0;0;0;256;137;49897;55;171;5;3;0;0;0;0;0;247;6072;85020;3510;3550;0;0;0;0;0;481;234;98152;4;89;2;2;0;0;0;0;0;128;495;43640;1720;2400;0;0;0;0;0;225;97;48255;51;82;3;1;0;0;0;0;0;119;5577;41380;1790;1150;0;0;0;0;0;256;137;49897;
250030405000006;1;57;165;46;11;1;1;0;0;0;183;7778;80201;36037;14349;1800;3800;0;0;0;464;281;143965;13;82;24;3;1;1;0;0;0;83;2100;39410;18083;4026;1800;3800;0;0;0;207;124;69219;44;83;22;8;0;0;0;0;0;100;5678;40791;17954;10323;0;0;0;0;0;257;157;74746;57;165;46;11;1;1;0;0;0;183;7778;80201;36037;14349;1800;3800;0;0;0;464;281;143965;13;82;24;3;1;1;0;0;0;83;2100;39410;18083;4026;1800;3800;0;0;0;207;124;69219;44;83;22;8;0;0;0;0;0;100;5678;40791;17954;10323;0;0;0;0;0;257;157;74746;
250030405000007;1;40;163;76;39;32;15;4;1;0;215;5695;80620;62051;50432;63940;50470;25000;8000;0;585;370;346208;8;81;33;21;16;9;4;1;0;102;1430;39580;26051;27809;32132;29400;25000;8000;0;275;173;189402;32;82;43;18;16;6;0;0;0;113;4265;41040;36000;22623;31808;21070;0;0;0;310;197;156806;40;163;76;39;32;15;4;1;0;215;5695;80620;62051;50432;63940;50470;25000;8000;0;585;370;346208;8;81;33;21;16;9;4;1;0;102;1430;39580;26051;27809;32132;29400;25000;8000;0;275;173;189402;32;82;43;18;16;6;0;0;0;113;4265;41040;36000;22623;31808;21070;0;0;0;310;197;156806;
250030405000008;1;72;231;75;20;20;9;0;1;1;318;11549;112247;60290;25990;42203;32910;0;10000;22000;747;429;317189;26;111;43;8;14;6;0;1;0;138;4208;53456;33870;10050;29563;23910;0;10000;0;347;209;165057;46;120;32;12;6;3;0;0;1;180;7341;58791;26420;15940;12640;9000;0;0;22000;400;220;152132;72;231;75;20;20;9;0;1;1;318;11549;112247;60290;25990;42203;32910;0;10000;22000;747;429;317189;26;111;43;8;14;6;0;1;0;138;4208;53456;33870;10050;29563;23910;0;10000;0;347;209;165057;46;120;32;12;6;3;0;0;1;180;7341;58791;26420;15940;12640;9000;0;0;22000;400;220;152132;
250030405000009;1;22;255;83;44;34;17;1;2;0;489;3217;127620;72440;59810;69650;58050;7000;17000;0;947;458;414787;9;100;35;29;18;10;1;1;0;216;1380;49970;31180;40380;37650;35100;7000;9000;0;419;203;211660;13;155;48;15;16;7;0;1;0;273;1837;77650;41260;19430;32000;22950;0;8000;0;528;255;203127;21;255;83;44;34;17;1;2;0;486;3137;127620;72440;59810;69650;58050;7000;17000;0;943;457;414707;8;100;35;29;18;10;1;1;0;213;1300;49970;31180;40380;37650;35100;7000;9000;0;415;202;211580;13;155;48;15;16;7;0;1;0;273;1837;77650;41260;19430;32000;22950;0;8000;0;528;255;203127;
250030405000010;1;202;405;60;15;10;9;1;0;0;297;26108;190817;48338;19373;19525;28300;6500;0;0;999;702;338961;70;198;26;8;6;7;1;0;0;141;10404;92986;21359;10830;11520;21800;6500;0;0;457;316;175399;132;207;34;7;4;2;0;0;0;156;15704;97831;26979;8543;8005;6500;0;0;0;542;386;163562;202;398;60;15;10;9;1;0;0;297;26108;187247;48338;19373;19525;28300;6500;0;0;992;695;335391;70;192;26;8;6;7;1;0;0;141;10404;89926;21359;10830;11520;21800;6500;0;0;451;310;172339;132;206;34;7;4;2;0;0;0;156;15704;97321;26979;8543;8005;6500;0;0;0;541;385;163052;
250030405000011;1;103;100;7;1;0;0;0;0;0;141;12086;48324;5199;1140;0;0;0;0;0;352;211;66749;36;56;4;1;0;0;0;0;0;74;4352;26477;2499;1140;0;0;0;0;0;171;97;34468;67;44;3;0;0;0;0;0;0;67;7734;21847;2700;0;0;0;0;0;0;181;114;32281;103;100;7;1;0;0;0;0;0;141;12086;48324;5199;1140;0;0;0;0;0;352;211;66749;36;56;4;1;0;0;0;0;0;74;4352;26477;2499;1140;0;0;0;0;0;171;97;34468;67;44;3;0;0;0;0;0;0;67;7734;21847;2700;0;0;0;0;0;0;181;114;32281;
250030405000012;1;89;187;13;3;2;1;0;0;0;229;12131;90140;11360;3768;3375;5000;0;0;0;524;295;125774;29;102;6;1;1;1;0;0;0;111;4910;48340;5620;1200;1800;5000;0;0;0;251;140;66870;60;85;7;2;1;0;0;0;0;118;7221;41800;5740;2568;1575;0;0;0;0;273;155;58904;89;187;13;3;2;1;0;0;0;229;12131;90140;11360;3768;3375;5000;0;0;0;524;295;125774;29;102;6;1;1;1;0;0;0;111;4910;48340;5620;1200;1800;5000;0;0;0;251;140;66870;60;85;7;2;1;0;0;0;0;118;7221;41800;5740;2568;1575;0;0;0;0;273;155;58904;
250030405000013;1;80;136;22;6;2;1;0;0;0;236;9907;65372;18796;7830;4000;3100;0;0;0;483;247;109005;15;75;11;2;2;1;0;0;0;112;2223;35070;8816;2730;4000;3100;0;0;0;218;106;55939;65;61;11;4;0;0;0;0;0;124;7684;30302;9980;5100;0;0;0;0;0;265;141;53066;80;136;22;6;2;1;0;0;0;236;9907;65372;18796;7830;4000;3100;0;0;0;483;247;109005;15;75;11;2;2;1;0;0;0;112;2223;35070;8816;2730;4000;3100;0;0;0;218;106;55939;65;61;11;4;0;0;0;0;0;124;7684;30302;9980;5100;0;0;0;0;0;265;141;53066;
250030405000014;1;58;41;4;0;0;0;0;0;0;105;7644;19250;3218;0;0;0;0;0;0;208;103;30112;16;24;2;0;0;0;0;0;0;66;2328;11060;1620;0;0;0;0;0;0;108;42;15008;42;17;2;0;0;0;0;0;0;39;5316;8190;1598;0;0;0;0;0;0;100;61;15104;58;41;4;0;0;0;0;0;0;105;7644;19250;3218;0;0;0;0;0;0;208;103;30112;16;24;2;0;0;0;0;0;0;66;2328;11060;1620;0;0;0;0;0;0;108;42;15008;42;17;2;0;0;0;0;0;0;39;5316;8190;1598;0;0;0;0;0;0;100;61;15104;
250030405000015;1;218;343;40;13;7;2;0;1;0;349;27686;160689;32557;16735;13900;7500;0;8000;0;973;624;267067;75;180;19;4;4;2;0;1;0;183;10580;82853;15669;5350;8200;7500;0;8000;0;468;285;138152;143;163;21;9;3;0;0;0;0;166;17106;77836;16888;11385;5700;0;0;0;0;505;339;128915;218;343;40;13;7;2;0;1;0;349;27686;160689;32557;16735;13900;7500;0;8000;0;973;624;267067;75;180;19;4;4;2;0;1;0;183;10580;82853;15669;5350;8200;7500;0;8000;0;468;285;138152;143;163;21;9;3;0;0;0;0;166;17106;77836;16888;11385;5700;0;0;0;0;505;339;128915;
250030405000016;8;249;232;43;2;4;1;0;0;0;443;31518;108873;33728;2550;7110;3200;0;0;0;974;531;186979;101;139;19;0;3;0;0;0;0;248;14832;62084;14186;0;5200;0;0;0;0;510;262;96302;148;93;24;2;1;1;0;0;0;195;16686;46789;19542;2550;1910;3200;0;0;0;464;269;90677;247;232;43;2;4;1;0;0;0;442;31328;108873;33728;2550;7110;3200;0;0;0;971;529;186789;100;139;19;0;3;0;0;0;0;247;14732;62084;14186;0;5200;0;0;0;0;508;261;96202;147;93;24;2;1;1;0;0;0;195;16596;46789;19542;2550;1910;3200;0;0;0;463;268;90587;
250030405000017;8;30;31;1;0;0;0;0;0;0;64;3682;13440;1000;0;0;0;0;0;0;126;62;18122;13;24;1;0;0;0;0;0;0;29;1940;10300;1000;0;0;0;0;0;0;67;38;13240;17;7;0;0;0;0;0;0;0;35;1742;3140;0;0;0;0;0;0;0;59;24;4882;30;31;1;0;0;0;0;0;0;64;3682;13440;1000;0;0;0;0;0;0;126;62;18122;13;24;1;0;0;0;0;0;0;29;1940;10300;1000;0;0;0;0;0;0;67;38;13240;17;7;0;0;0;0;0;0;0;35;1742;3140;0;0;0;0;0;0;0;59;24;4882;
